gcubed_region_code,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
USA,0.619637729,0.597009339,0.568504168,0.546458488,0.530779978,0.513273995,0.493072114,0.472086588,0.453662797,0.436674316,0.420077574,0.40669362,0.396980388,0.389165717,0.379676675,0.366620153,0.349451416,0.332515187,0.321874671,0.315591945,0.309982077,0.304654244,0.300302736,0.295703372,0.289680706,0.281521727,0.271430502,0.261158944,0.252167959,0.244150154,0.236068385,0.227159728,0.217927885,0.209003394,0.199429375,0.188143622,0.174944984,0.16110872,0.148266641,0.136963532,0.127036551,0.118022229,0.109611353,0.10128927,0.092191046,0.081977324,0.070212201,0.057672603,0.04565489,0.03339873,0.020977897,0.008752971,-0.004206485,-0.017873818,-0.030356121,-0.040016137,-0.046799326,-0.051515789,-0.054963933,-0.057589046,-0.05999785,-0.062291812,-0.063612013,-0.062940583,-0.056653588,-0.047670982,-0.034183701,-0.020589111,-0.016458099,-0.01389094,-0.014360526,-0.016307849,-0.020600169,-0.026175668,-0.033053369,-0.042005859,-0.052062264,-0.063418098,-0.075213664,-0.088869866,-0.097519169,-0.104224293,-0.10318205,-0.102150229,-0.101128727,-0.10011744,-0.099116265,-0.098125103,-0.097143852,-0.096172413,-0.095210689,-0.094258582,-0.093315996,-0.092382836,-0.091459008,-0.090544418,-0.089638974,-0.088742584,-0.087855158,-0.086976607,-0.086106841,-0.085245772,-0.084393314,-0.083549381,-0.082713887,-0.081886749,-0.081067881,-0.080257202,-0.07945463,-0.078660084,-0.077873483,-0.077094748,-0.076323801,-0.075560563,-0.074804957,-0.074056908,-0.073316339,-0.072583175,-0.071857343,-0.07113877,-0.070427382,-0.069723108,-0.069025877,-0.068335619,-0.067652262,-0.06697574,-0.066305982,-0.065642923,-0.064986493,-0.064336628,-0.063693262,-0.063056329,-0.062425766
ROW,0.619637729,0.597009339,0.568504168,0.546458488,0.530779978,0.513273995,0.493072114,0.472086588,0.453662797,0.436674316,0.420077574,0.40669362,0.396980388,0.389165717,0.379676675,0.366620153,0.349451416,0.332515187,0.321874671,0.315591945,0.309982077,0.304654244,0.300302736,0.295703372,0.289680706,0.281521727,0.271430502,0.261158944,0.252167959,0.244150154,0.236068385,0.227159728,0.217927885,0.209003394,0.199429375,0.188143622,0.174944984,0.16110872,0.148266641,0.136963532,0.127036551,0.118022229,0.109611353,0.10128927,0.092191046,0.081977324,0.070212201,0.057672603,0.04565489,0.03339873,0.020977897,0.008752971,-0.004206485,-0.017873818,-0.030356121,-0.040016137,-0.046799326,-0.051515789,-0.054963933,-0.057589046,-0.05999785,-0.062291812,-0.063612013,-0.062940583,-0.056653588,-0.047670982,-0.034183701,-0.020589111,-0.016458099,-0.01389094,-0.014360526,-0.016307849,-0.020600169,-0.026175668,-0.033053369,-0.042005859,-0.052062264,-0.063418098,-0.075213664,-0.088869866,-0.097519169,-0.104224293,-0.10318205,-0.102150229,-0.101128727,-0.10011744,-0.099116265,-0.098125103,-0.097143852,-0.096172413,-0.095210689,-0.094258582,-0.093315996,-0.092382836,-0.091459008,-0.090544418,-0.089638974,-0.088742584,-0.087855158,-0.086976607,-0.086106841,-0.085245772,-0.084393314,-0.083549381,-0.082713887,-0.081886749,-0.081067881,-0.080257202,-0.07945463,-0.078660084,-0.077873483,-0.077094748,-0.076323801,-0.075560563,-0.074804957,-0.074056908,-0.073316339,-0.072583175,-0.071857343,-0.07113877,-0.070427382,-0.069723108,-0.069025877,-0.068335619,-0.067652262,-0.06697574,-0.066305982,-0.065642923,-0.064986493,-0.064336628,-0.063693262,-0.063056329,-0.062425766
