,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
"LATC(a01,USA)",1.62198,1.61706,1.61226,1.60758,1.60301,1.59855,1.59420,1.58995,1.58580,1.58175,1.57780,1.57393,1.57016,1.56648,1.56288,1.55937,1.55593,1.55258,1.54930,1.54610,1.54297,1.53991,1.53693,1.53401,1.53115,1.52836,1.52563,1.52297,1.52036,1.51782,1.51532,1.51289,1.51051,1.50818,1.50590,1.50368,1.50150,1.49937,1.49729,1.49525,1.49325,1.49131,1.48940,1.48753,1.48571,1.48392,1.48218,1.48047,1.47880,1.47716,1.47556,1.47399,1.47246,1.47096,1.46949,1.46805,1.46665,1.46527,1.46393,1.46261,1.46132,1.46005,1.45882,1.45761,1.45642,1.45526,1.45413,1.45302,1.45193,1.45087,1.44982,1.44880,1.44780,1.44683,1.44587,1.44493,1.44401,1.44311,1.44223,1.44137,1.44053,1.43970,1.43889,1.43810,1.43732,1.43656,1.43582,1.43509,1.43438,1.43368,1.43299,1.43232,1.43167,1.43102,1.43039,1.42978,1.42917,1.42858,1.42800,1.42743,1.42688,1.42633,1.42580,1.42528,1.42476,1.42426,1.42377,1.42329,1.42282,1.42236,1.42191,1.42146,1.42103,1.42061,1.42019,1.41978,1.41938,1.41899,1.41861,1.41823,1.41786,1.41750,1.41715,1.41680,1.41647,1.41613,1.41581,1.41549,1.41518,1.41487,1.41457,1.41428,1.41399
"LATC(a01,ROW)",1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000
"LATC(a02,USA)",1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000,1.40000
"LATC(a02,ROW)",1.62198,1.61706,1.61226,1.60758,1.60301,1.59855,1.59420,1.58995,1.58580,1.58175,1.57780,1.57393,1.57016,1.56648,1.56288,1.55937,1.55593,1.55258,1.54930,1.54610,1.54297,1.53991,1.53693,1.53401,1.53115,1.52836,1.52563,1.52297,1.52036,1.51782,1.51532,1.51289,1.51051,1.50818,1.50590,1.50368,1.50150,1.49937,1.49729,1.49525,1.49325,1.49131,1.48940,1.48753,1.48571,1.48392,1.48218,1.48047,1.47880,1.47716,1.47556,1.47399,1.47246,1.47096,1.46949,1.46805,1.46665,1.46527,1.46393,1.46261,1.46132,1.46005,1.45882,1.45761,1.45642,1.45526,1.45413,1.45302,1.45193,1.45087,1.44982,1.44880,1.44780,1.44683,1.44587,1.44493,1.44401,1.44311,1.44223,1.44137,1.44053,1.43970,1.43889,1.43810,1.43732,1.43656,1.43582,1.43509,1.43438,1.43368,1.43299,1.43232,1.43167,1.43102,1.43039,1.42978,1.42917,1.42858,1.42800,1.42743,1.42688,1.42633,1.42580,1.42528,1.42476,1.42426,1.42377,1.42329,1.42282,1.42236,1.42191,1.42146,1.42103,1.42061,1.42019,1.41978,1.41938,1.41899,1.41861,1.41823,1.41786,1.41750,1.41715,1.41680,1.41647,1.41613,1.41581,1.41549,1.41518,1.41487,1.41457,1.41428,1.41399
