name,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
INFL(USA),2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
INFL(ROW),2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
